name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998,06/30/1997,06/30/1996,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,
"			AccumulatedDepreciation","-181,738,000","-185,539,000","-175,105,000","-164,237,000","-153,428,000","-146,360,000","-134,295,000","-124,443,000","-115,128,000","-108,306,000","-102,115,000","-107,196,000","-100,036,000","-206,808,000","-228,260,000","-214,593,000","-201,997,000","-187,280,000","-172,186,000","-167,486,000","-153,181,000","-139,737,000","-126,500,000","-113,000,000","-99,100,000","-85,200,000","-71,400,000","-69,900,000","-65,700,000","-62,700,000","-58,400,000","-52,300,000","-46,300,000","-40,900,000"
"		GoodwillAndOtherIntangibleAssets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000"
"			OtherIntangibleAssets",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000,000"
"		InvestmentsAndAdvances",,,,0,"18,934,000","18,563,000","12,373,000","7,123,000","7,301,000","12,147,000","12,575,000","14,266,000","238,000",,,,,,,,,,,,,,,,,,,,,
"			LongTermEquityInvestment",,,,0,"18,934,000","18,563,000","12,373,000","7,123,000","7,301,000",,,,,,,,,,,,,,,,,,,,,,,,,
"		OtherNonCurrentAssets","7,149,000","3,482,000","2,481,000","2,535,000","2,710,000","1,013,000","2,100,000","2,076,000","2,388,000","1,873,000","445,000","875,000","798,000","878,000","803,000","211,000","225,000","1,516,000","11,701,000","222,000","158,000","87,000","100,000","400,000","400,000","500,000","400,000","15,400,000","2,200,000","600,000","900,000","1,000,000","2,300,000","1,200,000"
TotalLiabilitiesNetMinorityInterest,"104,049,000","91,553,000","76,451,000","71,598,000","79,044,000","78,150,000","56,234,000","69,726,000","76,344,000","84,727,000","58,433,000","48,353,000","81,248,000","91,917,000","76,156,000","69,672,000","68,973,000","68,828,000","67,912,000","61,540,000","73,906,000","53,401,000","52,000,000","55,700,000","56,700,000","63,600,000","64,100,000","53,900,000","23,500,000","28,400,000","26,700,000","25,900,000","32,200,000","36,900,000"
"	CurrentLiabilities","53,329,000","39,295,000","37,463,000","41,580,000","36,995,000","37,661,000","30,748,000","34,150,000","29,771,000","59,171,000","34,980,000","23,491,000","49,545,000","69,216,000","42,585,000","38,069,000","33,018,000","36,613,000","31,098,000","26,598,000","34,678,000","17,832,000","16,300,000","16,200,000","13,600,000","10,100,000","14,400,000","18,000,000","12,800,000","18,000,000","14,300,000","13,000,000","17,600,000","19,300,000"
"		PayablesAndAccruedExpenses","46,584,000","36,060,000","35,789,000","40,246,000","31,816,000","33,289,000","26,446,000","31,772,000","27,304,000","32,894,000","28,617,000","22,802,000","25,840,000","29,897,000","23,583,000","20,689,000","17,365,000","18,391,000","13,333,000","12,426,000","14,454,000","10,563,000","9,100,000","9,100,000","8,200,000","6,400,000","7,800,000","8,200,000","5,700,000","6,300,000","4,700,000","4,700,000",,
"			Payables","32,438,000","30,956,000","26,611,000","31,222,000","24,515,000","24,700,000","20,173,000","24,965,000","23,380,000","28,871,000","24,218,000","15,292,000","19,864,000","23,315,000","15,814,000","10,661,000","11,744,000","10,576,000","9,729,000","8,681,000","10,446,000","10,563,000","9,100,000","9,100,000","8,200,000","6,400,000","7,800,000","8,200,000","5,700,000","6,300,000","4,700,000","4,700,000",,
"				AccountsPayable","30,273,000","29,511,000","25,363,000","30,037,000","20,342,000","20,940,000","16,076,000","23,107,000","18,860,000","28,871,000","24,218,000","15,292,000","19,864,000","23,315,000","15,814,000","10,661,000","11,744,000","10,576,000","9,729,000","8,681,000","10,446,000","10,563,000","9,100,000","9,100,000","8,200,000","6,400,000","7,800,000","8,200,000","5,700,000","6,300,000","4,700,000","4,700,000",,
"				TotalTaxPayable","2,165,000","1,445,000","1,248,000","1,185,000","824,000","1,469,000","764,000","654,000","512,000",,,,,,,,,,,,,,,,,,,,,,,,,
"					IncomeTaxPayable","704,000",,,,0,"685,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"				DuetoRelatedPartiesCurrent",,,,0,"3,349,000","2,291,000","3,333,000","1,204,000","4,008,000",,,,,,,,,,,,,,,,,,,,,,,,,
"				OtherPayable",,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,0,0,0,,
"			CurrentAccruedExpenses","14,146,000","5,104,000","9,178,000","9,024,000","7,301,000","8,589,000","6,273,000","6,807,000","3,924,000","4,023,000","4,399,000","7,510,000","5,976,000","6,582,000","7,769,000","10,028,000","5,621,000","7,815,000","3,604,000","3,745,000","4,008,000",,,,,,,,,,,,,
"				InterestPayable",,,,"8,414,000","6,461,000","7,817,000","5,606,000","5,175,000","2,627,000",,,,,,,,,,,,,,,,,,,,,,,,,
"		PensionandOtherPostRetirementBenefitPlansCurrent","3,033,000","590,000","1,288,000","962,000","820,000","1,027,000","973,000","821,000","784,000",,,,,,,,,,,,,,,,,,,,,,,,,
"		CurrentDebtAndCapitalLeaseObligation","3,712,000","2,645,000","386,000","372,000","4,359,000","3,345,000","2,613,000","1,557,000","1,683,000","22,812,000","6,363,000","689,000","20,980,000","23,432,000","11,151,000","3,796,000","4,705,000","3,201,000","3,201,000","3,201,000","4,273,000","2,273,000","2,400,000","3,400,000","1,000,000",,,"8,600,000","100,000","1,000,000","200,000","300,000","4,400,000","2,400,000"
"			CurrentDebt","1,600,000","401,000","386,000","372,000","4,359,000","3,345,000","2,613,000","1,557,000","1,683,000","22,812,000","6,363,000","689,000","20,980,000","23,432,000","11,151,000","3,796,000","4,705,000","3,201,000","3,201,000","3,201,000","4,273,000","2,273,000","2,400,000","3,400,000","1,000,000",,,"8,600,000","100,000","1,000,000","200,000","300,000","4,400,000","2,400,000"
"				LineOfCredit",,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
"				OtherCurrentBorrowings","1,600,000","401,000",,,,,,,"1,683,000","22,812,000",,,,,,,,,,,,,,,,,,,,,,,,
"			CurrentCapitalLeaseObligation","2,112,000","2,244,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		CurrentDeferredLiabilities",,,,,,,,,,,,,,"4,562,000","7,851,000","9,374,000","10,948,000","12,598,000","14,564,000",,,,,,,,,,,,,,,
"			CurrentDeferredTaxesLiabilities",,,,,,,,,,,,,,,,,,,"241,000",,,,,,,,,,,,,,,
"			CurrentDeferredRevenue",,,,,,,,,,,,,,"4,562,000","7,851,000","9,374,000","10,948,000","12,598,000","14,323,000",,,,,,,,,,,,,,,
"		OtherCurrentLiabilities",,,,0,0,0,"716,000",0,0,"3,465,000",0,0,"2,725,000","11,325,000",0,"4,210,000",0,"2,423,000",,"10,971,000","15,951,000","4,996,000","4,800,000","3,700,000","4,400,000","3,700,000","6,600,000","1,200,000","7,000,000","10,700,000","9,400,000","8,000,000","13,200,000","16,900,000"
"	TotalNonCurrentLiabilitiesNetMinorityInterest","50,720,000","52,258,000","38,988,000","30,018,000","42,049,000","40,489,000","25,486,000","35,576,000","46,573,000","25,556,000","23,453,000","24,862,000","31,703,000","22,701,000","33,571,000","31,603,000","35,955,000","32,215,000","36,814,000","34,942,000","39,228,000","35,569,000","35,700,000","39,500,000","43,100,000","53,500,000","49,700,000","35,900,000","10,700,000","10,400,000","12,400,000","12,900,000","14,600,000","17,600,000"
"		LongTermDebtAndCapitalLeaseObligation","41,328,000","44,926,000","31,628,000","24,182,000","31,642,000","30,115,000","7,670,000","21,611,000","31,061,000","6,852,000","7,702,000","2,082,000","9,632,000","1,301,000","8,940,000","12,355,000","16,785,000","12,561,000","15,232,000","18,433,000","22,420,000","18,181,000","21,100,000","25,500,000","29,900,000","40,900,000","38,900,000","25,000,000",,"100,000","1,100,000","1,300,000","2,900,000","7,500,000"
"			LongTermDebt","38,271,000","40,659,000","31,628,000","24,182,000","31,642,000","30,115,000","7,670,000","21,611,000","31,061,000","6,852,000","7,702,000","2,082,000","9,632,000","1,301,000","8,940,000","12,355,000","16,785,000","12,561,000","15,232,000","18,433,000","22,420,000","18,181,000","21,100,000","25,500,000","29,900,000","40,900,000","38,900,000","25,000,000",,"100,000","1,100,000","1,300,000","2,900,000","7,500,000"
"			LongTermCapitalLeaseObligation","3,057,000","4,267,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"		NonCurrentDeferredLiabilities","4,494,000","3,162,000","3,242,000","2,163,000","6,410,000","6,159,000","13,396,000","8,902,000","9,416,000","10,251,000","8,238,000","5,379,000","7,408,000","10,494,000","16,771,000","12,694,000","12,828,000","13,677,000","15,802,000","10,587,000","10,774,000","11,218,000","8,200,000","7,500,000","7,000,000","6,600,000","5,300,000","6,000,000","6,400,000","10,300,000","11,300,000","11,500,000","11,400,000","9,700,000"
"			NonCurrentDeferredTaxesLiabilities","2,298,000","1,929,000","1,677,000","12,000","3,432,000","2,757,000","9,297,000","4,977,000","5,283,000","6,056,000","3,740,000",,"1,218,000","10,494,000","16,771,000","12,694,000","12,828,000","13,677,000","15,802,000","10,587,000","10,774,000","11,218,000","8,200,000","7,500,000","7,000,000","6,600,000","5,300,000","6,000,000","6,400,000","10,300,000","11,300,000","11,500,000","11,400,000","9,700,000"
"		NonCurrentAccruedExpenses",,,,,,,,,,"6,309,000","6,498,000",,,,,,,,,,,,,,,,,,,,,,,
"		EmployeeBenefits","1,476,000",,"2,595,000","3,133,000","3,604,000","4,136,000","4,420,000","4,423,000","5,096,000",,,,,,,,,,,,,,,,,,,,,,,,,
"			NonCurrentPensionAndOtherPostretirementBenefitPlans","1,476,000",,"2,595,000","3,133,000","3,604,000","4,136,000","4,420,000","4,423,000","5,096,000",,,,,,,,,,,,,,,,,,,,,,,,,
"		OtherNonCurrentLiabilities","3,422,000","4,170,000","1,523,000","540,000","393,000","79,000",0,"640,000","1,000,000","2,144,000","1,015,000","17,401,000","14,663,000","10,906,000","7,860,000","6,554,000","6,342,000","5,977,000","5,780,000","5,922,000","6,034,000","6,170,000","6,400,000","6,500,000","6,200,000","6,000,000","5,500,000","4,900,000","4,300,000",0,0,"100,000","300,000","400,000"
TotalEquityGrossMinorityInterest,"262,526,000","231,044,000","201,441,000","168,730,000","146,292,000","116,160,000","104,365,000","81,603,000","86,827,000","84,430,000","75,198,000","72,784,000","63,884,000","134,015,000","148,148,000","134,912,000","120,527,000","118,209,000","105,218,000","104,678,000","100,544,000","102,378,000","105,400,000","106,300,000","108,600,000","109,200,000","112,600,000","114,200,000","103,200,000","91,900,000","83,000,000","76,400,000","72,400,000","55,800,000"
"	StockholdersEquity","262,526,000","231,044,000","201,441,000","168,730,000","146,292,000","116,160,000","104,365,000","81,603,000","86,827,000","84,430,000","75,198,000","72,784,000","63,884,000","134,015,000","148,148,000","134,912,000","120,527,000","118,209,000","105,218,000","104,678,000","100,544,000","102,378,000","105,400,000","106,300,000","108,600,000","109,200,000","112,600,000","114,200,000","103,200,000","91,900,000","83,000,000","76,400,000","72,400,000","55,800,000"
"		CapitalStock","6,719,000","6,719,000","6,719,000","6,719,000","6,719,000","6,719,000","6,719,000","6,719,000","6,719,000","4,000","4,000","6,719,000","4,000","4,000","4,000","4,000","6,719,000","6,719,000","6,719,000","6,719,000","6,719,000","6,719,000","6,700,000",,,,,,,,,,,
"			PreferredStock","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000",,,,,,,,,,,,
"			CommonStock","6,715,000","6,715,000","6,715,000","6,715,000","6,715,000","6,715,000","6,715,000","6,715,000","6,715,000",0,0,"6,715,000",0,0,0,0,"6,715,000","6,715,000","6,715,000","6,715,000","6,715,000","6,715,000","6,700,000",,,,,,,,,,,
"			OtherCapitalStock",,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,,,,,,
"		AdditionalPaidInCapital","15,503,000","14,029,000","15,375,000","13,912,000","14,279,000","11,356,000","9,904,000","8,728,000","7,894,000","13,640,000","14,188,000","11,990,000","18,287,000","15,718,000","15,799,000","13,918,000","5,341,000","5,005,000","2,605,000","2,601,000","2,485,000","2,485,000","2,500,000",,,,,,,,,,,
"		RetainedEarnings","262,943,000","230,784,000","198,914,000","167,129,000","142,652,000","114,558,000","89,454,000","66,686,000","72,531,000","78,953,000","69,224,000","71,428,000","62,690,000","131,813,000","148,929,000","136,267,000","124,754,000","123,181,000","114,861,000","110,916,000","105,878,000","104,073,000","99,200,000","97,900,000","100,100,000","100,000,000","103,400,000","105,000,000","94,000,000","82,600,000","73,800,000","67,200,000","72,000,000","55,500,000"
"		TreasuryStock","23,125,000","20,242,000","19,403,000","18,719,000","16,985,000","15,973,000","980,000","526,000","84,000","7,132,000","8,203,000","14,526,000","14,786,000","15,035,000","15,352,000","14,795,000","16,059,000","16,445,000","18,917,000","15,734,000","14,553,000","10,899,000","2,900,000",,,,,,,,,,,
"		GainsLossesNotAffectingRetainedEarnings","486,000","-246,000","-164,000","-311,000","-373,000","-500,000","-732,000","-4,000","-233,000","-1,035,000","-15,000","-2,827,000","-2,311,000","1,515,000","-1,232,000","-482,000","-228,000","-251,000","-50,000","176,000","15,000",,,,,,,,,,,,,
"			OtherEquityAdjustments",,,"-164,000","-311,000","-373,000","-500,000","-732,000","-4,000","-233,000",,,,,,,,,,,,,,,,,,,,,,,,,
"		OtherEquityInterest",,,,,,,,,,,,,,,,,,,,,,,"-100,000","8,400,000","8,500,000","9,200,000","9,200,000","9,200,000","9,200,000","9,300,000","9,200,000","9,200,000","400,000","300,000"
TotalCapitalization,"300,797,000","271,703,000","233,069,000","192,912,000","177,934,000","146,275,000","112,035,000","103,214,000","117,888,000","91,282,000","82,900,000","74,866,000","73,516,000","135,316,000","157,088,000","147,267,000","137,312,000","130,770,000","120,450,000","123,111,000","122,964,000","120,559,000","126,500,000","131,800,000","138,500,000","150,100,000","151,500,000","139,200,000","103,200,000","92,000,000","84,100,000","77,700,000","75,300,000","63,300,000"
PreferredStockEquity,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000",,,,,,,,,,,,
CommonStockEquity,"262,522,000","231,040,000","201,437,000","168,726,000","146,288,000","116,156,000","104,361,000","81,599,000","86,823,000","84,426,000","75,194,000","72,780,000","63,880,000","134,011,000","148,144,000","134,908,000","120,523,000","118,205,000","105,214,000","104,674,000","100,540,000","102,374,000","105,400,000","106,300,000","108,600,000","109,200,000","112,600,000","114,200,000","103,200,000","91,900,000","83,000,000","76,400,000","72,400,000","55,800,000"
CapitalLeaseObligations,"5,169,000","6,511,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"262,526,000","231,044,000","201,441,000","168,730,000","146,292,000","116,160,000","104,365,000","81,603,000","86,827,000","84,430,000","75,198,000","72,784,000","63,884,000","134,015,000","148,148,000","134,912,000","120,527,000","118,209,000","105,218,000","104,678,000","100,544,000","102,378,000","105,400,000","106,300,000","108,600,000","109,200,000","112,600,000","114,200,000","103,200,000","91,900,000","83,000,000","76,400,000","72,400,000","52,800,000"
WorkingCapital,"168,954,000","144,911,000","117,160,000","93,162,000","73,906,000","53,519,000","51,497,000","37,736,000","48,320,000","18,887,000","22,381,000","25,142,000","31,242,000","46,864,000","48,704,000","44,469,000","40,628,000","39,811,000","38,527,000","48,383,000","47,490,000","45,089,000","43,100,000","39,800,000","36,600,000","37,100,000","27,000,000","22,100,000","41,600,000","37,100,000","37,000,000","31,000,000","28,300,000","17,300,000"
InvestedCapital,"302,393,000","272,100,000","233,451,000","193,280,000","182,289,000","149,616,000","114,644,000","104,767,000","119,567,000","114,090,000","89,259,000","75,551,000","94,492,000","158,744,000","168,235,000","151,059,000","142,013,000","133,967,000","123,647,000","126,308,000","127,233,000","122,828,000","128,900,000","135,200,000","139,500,000","150,100,000","151,500,000","147,800,000","103,300,000","93,000,000","84,300,000","78,000,000","79,700,000","65,700,000"
TangibleBookValue,"262,522,000","231,040,000","201,437,000","168,726,000","146,288,000","116,156,000","104,361,000","81,599,000","86,823,000","84,426,000","75,194,000","72,780,000","63,880,000","134,011,000","148,144,000","134,908,000","120,523,000","118,205,000","105,214,000","104,674,000","100,540,000","102,374,000","105,400,000","106,300,000","108,600,000","109,200,000","112,600,000","114,200,000","103,200,000","91,900,000","83,000,000","76,400,000","72,400,000","52,800,000"
TotalDebt,"45,040,000","47,571,000","32,014,000","24,554,000","36,001,000","33,460,000","10,283,000","23,168,000","32,744,000","29,664,000","14,065,000","2,771,000","30,612,000","24,733,000","20,091,000","16,151,000","21,490,000","15,762,000","18,433,000","21,634,000","26,693,000","20,454,000","23,500,000","28,900,000","30,900,000","40,900,000","38,900,000","33,600,000","100,000","1,100,000","1,300,000","1,600,000","7,300,000","9,900,000"
NetDebt,"18,209,000","37,751,000","26,989,000","21,470,000","34,432,000","32,713,000","4,642,000","20,311,000","32,744,000","29,280,000","5,867,000",,"29,454,000","24,733,000","12,855,000",,"11,106,000","9,274,000","894,000",,,"12,726,000","19,400,000","24,200,000","24,900,000","37,100,000","38,400,000","29,800,000",,,,,,"6,100,000"
ShareIssued,"18,115,965","18,115,965","18,115,965","18,115,965","18,115,965","18,115,965","18,115,965","18,115,965","18,115,965","19,530,344","19,530,344","19,530,344","19,530,344","16,560,578","16,492,890","16,273,560","15,994,680","15,908,830","15,370,688","16,133,572","16,406,708","17,166,794","19,052,144","19,400,344","19,400,344","19,530,344","19,530,344","19,530,344","19,530,000","19,530,000","19,520,000","19,520,000","18,876,000","19,199,595"
OrdinarySharesNumber,"16,915,862","17,028,125","16,856,414","16,797,420","16,658,765","16,681,576","17,674,559","17,750,421","17,934,233","18,115,965","17,905,767","16,675,744","16,598,585","16,560,578","16,492,890","16,273,560","15,994,680","15,908,830","15,370,688","16,133,572","16,406,708","17,166,794","19,052,144","19,400,344","19,400,344","19,530,344","19,530,344","19,530,344","19,530,000","19,530,000","19,520,000","19,520,000","18,876,000","19,199,595"
PreferredSharesNumber,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,,,,,,,,,,,,
TreasurySharesNumber,"1,200,103","1,087,840","1,259,551","1,318,545","1,457,200","1,434,389","441,406","365,544","181,732","1,414,379","1,624,577","2,854,600","2,931,759",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Margin,0.137138104,0.130234738,0.133340778,0.119813365,0.127940966,0.094973214,0.024616376,-0.015562607,-0.002790984,0.003606075,0.035920999,-0.21812404,-0.075465839,0.073805551,0.069369288,0.024093583,0.056481437,-0.03095045,0.053042027,0.015869762,0.037920476,0.016658954,-0.011643529,0.008010681,-0.023638232,0.058790904,0.137096774,0.135250918,0.088546256,0.08758372,0.069565217,0.099061522,0.131305044,#DIV/0!
Net Margin,0.137138104,0.130234738,0.133340778,0.123497617,0.131887778,0.100273501,0.026576006,-0.01608283,-0.002823515,0.003606075,0.035920999,-0.21812404,-0.075465839,0.073805551,0.069369288,0.024093583,0.056481437,-0.03095045,0.053042027,0.015869762,0.037920476,0.016658954,-0.011643529,0.008010681,-0.023638232,0.058790904,0.137096774,0.135250918,0.088546256,0.08758372,0.069565217,0.099061522,0.131305044,#DIV/0!
Return On Equity,0.153680016,0.167903083,0.185086452,0.247869377,0.213162716,0.225473485,0.226848081,-0.060402191,0.018703859,-0.015551344,0.116199899,-0.949700484,-0.183801891,0.132059844,0.094466344,0.029678605,0.078555013,0.043600741,0.05948602,0.025411261,0.048635423,0.012698041,-0.020872865,0.000940734,-0.031307551,0.03021978,0.141207815,0.141856392,0.130813953,0.12078346,0.101204819,0.171465969,0.139502762,0
Current Ratio,4.168144912,4.687771981,4.127352321,3.240548341,2.997729423,2.421072197,2.674808118,2.105007321,2.623055994,1.319193524,1.639822756,2.070282236,1.630578262,1.677068886,2.143689092,2.16811579,2.230480344,2.087346025,2.238889961,2.819046545,2.369456139,3.52854419,3.644171779,3.456790123,3.691176471,4.673267327,2.875,2.227777778,4.25,3.061111111,3.587412587,3.384615385,2.607954545,1.896373057
Quick ratio,2.9559E-08,3.42346E-08,3.7946E-08,3.47889E-08,3.80143E-08,4.12441E-08,7.76635E-08,6.0286E-08,7.18016E-08,4.24424E-08,1.10612E-07,1.42542E-07,7.99303E-08,2.63607E-08,5.03272E-08,7.11628E-08,7.13708E-08,6.36871E-08,8.30572E-08,1.35825E-07,1.29976E-07,1.83339E-07,1.48742E-07,1.6945E-07,2.46078E-07,2.34838E-07,1.95578E-07,1.68771E-07,3.89908E-07,2.26749E-07,2.49126E-07,2.86832E-07,2.08636E-07,1.62083E-07
